time,open,high,low,close,volume,closeTime,assetVolume,trades,buyBaseVolume,ignored
1657972800000 ,1197.91000000 ,1237.35000000 ,1196.00000000 ,1234.67000000 ,108545.88420000 ,1657979999999 ,132502678.36690500 ,96684 ,55179.64050000 ,67320181.19162200 
1657980000000 ,1234.67000000 ,1277.02000000 ,1231.56000000 ,1274.33000000 ,162713.25810000 ,1657987199999 ,203962675.05278200 ,292712 ,93966.08050000 ,117844548.84240100 
1657987200000 ,1274.34000000 ,1422.91000000 ,1272.21000000 ,1328.14000000 ,562054.34500000 ,1657994399999 ,758766758.28661800 ,588715 ,295874.10840000 ,399031719.73701600 
1657994400000 ,1328.14000000 ,1357.74000000 ,1324.49000000 ,1336.23000000 ,130285.02630000 ,1658001599999 ,174400009.37596000 ,195227 ,66518.77260000 ,89064749.20398900 
1658001600000 ,1336.23000000 ,1363.10000000 ,1314.60000000 ,1345.29000000 ,110126.44670000 ,1658008799999 ,147202189.77703800 ,117512 ,56229.24250000 ,75184387.78469200 
1658008800000 ,1345.29000000 ,1361.21000000 ,1338.29000000 ,1355.85000000 ,81626.66140000 ,1658015999999 ,110277288.06062200 ,70689 ,37448.33160000 ,50579155.05192900 
1658016000000 ,1355.84000000 ,1387.00000000 ,1328.17000000 ,1338.72000000 ,128322.14500000 ,1658023199999 ,174279276.02866300 ,117970 ,61137.59230000 ,83098728.70639500 
1658023200000 ,1338.72000000 ,1366.81000000 ,1335.91000000 ,1353.60000000 ,66741.79330000 ,1658030399999 ,90114768.58291200 ,79613 ,34755.94280000 ,46918402.24475700 
1658030400000 ,1353.61000000 ,1363.58000000 ,1347.14000000 ,1351.76000000 ,70397.62640000 ,1658037599999 ,95433179.81828200 ,71654 ,36744.15650000 ,49822847.36575600 
1658037600000 ,1351.76000000 ,1377.56000000 ,1350.68000000 ,1361.67000000 ,93175.33480000 ,1658044799999 ,127239509.77084300 ,92610 ,49024.07570000 ,66942765.54730100 
1658044800000 ,1361.66000000 ,1376.54000000 ,1354.54000000 ,1356.45000000 ,98397.53280000 ,1658051999999 ,134109714.38132600 ,79938 ,52146.72470000 ,71069176.73572900 
1658052000000 ,1356.45000000 ,1367.00000000 ,1337.32000000 ,1363.48000000 ,100064.04450000 ,1658059199999 ,135272500.46541400 ,89141 ,52883.19310000 ,71502560.64456700 
1658059200000 ,1363.47000000 ,1367.00000000 ,1330.83000000 ,1339.01000000 ,148880.41300000 ,1658066399999 ,200878456.66492700 ,127991 ,69417.12770000 ,93712364.98428400 
1658066400000 ,1339.01000000 ,1358.00000000 ,1338.28000000 ,1351.95000000 ,73712.31480000 ,1658073599999 ,99536422.33885400 ,76589 ,37790.54470000 ,51032142.95004000 
1658073600000 ,1351.96000000 ,1382.29000000 ,1319.04000000 ,1327.48000000 ,217106.33410000 ,1658080799999 ,294258431.49226000 ,174587 ,102646.30720000 ,139247100.95566800 
1658080800000 ,1327.49000000 ,1353.31000000 ,1322.53000000 ,1347.90000000 ,102533.83730000 ,1658087999999 ,137121955.83621100 ,106606 ,53188.43740000 ,71154710.52393400 
1658088000000 ,1347.89000000 ,1368.51000000 ,1339.47000000 ,1365.59000000 ,72930.12450000 ,1658095199999 ,98704299.85393800 ,75293 ,38166.99330000 ,51643959.32972900 
1658095200000 ,1365.58000000 ,1376.00000000 ,1335.27000000 ,1338.65000000 ,73941.37900000 ,1658102399999 ,100115862.46479000 ,71601 ,38507.78380000 ,52144792.87611000 
1658102400000 ,1338.65000000 ,1364.50000000 ,1336.07000000 ,1359.67000000 ,78606.71800000 ,1658109599999 ,106396011.40716600 ,72226 ,44934.23200000 ,60835199.70351600 
1658109600000 ,1359.68000000 ,1421.43000000 ,1358.73000000 ,1406.51000000 ,211815.10740000 ,1658116799999 ,296091225.35215500 ,173492 ,122005.79340000 ,170531391.30551200 
1658116800000 ,1406.50000000 ,1450.00000000 ,1393.84000000 ,1433.57000000 ,195475.06970000 ,1658123999999 ,278475654.13221200 ,166386 ,104345.17180000 ,148700233.30430200 
1658124000000 ,1433.56000000 ,1475.66000000 ,1427.00000000 ,1467.13000000 ,210828.66300000 ,1658131199999 ,306273121.45459900 ,157386 ,111225.98270000 ,161607089.09190600 
1658131200000 ,1467.14000000 ,1497.22000000 ,1462.57000000 ,1484.23000000 ,195287.63010000 ,1658138399999 ,288857788.86945300 ,156496 ,97029.19830000 ,143557279.53124500 
1658138400000 ,1484.23000000 ,1509.91000000 ,1465.40000000 ,1479.08000000 ,197898.57031000 ,1658145599999 ,294056870.52951800 ,161555 ,100370.62801000 ,149234805.25916900 
1658145600000 ,1479.08000000 ,1493.03000000 ,1452.52000000 ,1475.02000000 ,150069.66610000 ,1658152799999 ,221658924.48272000 ,145094 ,72376.80290000 ,106917993.52160300 
1658152800000 ,1475.03000000 ,1529.72000000 ,1464.15000000 ,1521.35000000 ,137406.41520000 ,1658159999999 ,204703956.74784500 ,133401 ,76561.73090000 ,114108536.53653300 
1658160000000 ,1521.34000000 ,1530.00000000 ,1466.20000000 ,1469.39000000 ,190396.61840000 ,1658167199999 ,285100985.74117100 ,163763 ,88586.99140000 ,132678615.22595500 
1658167200000 ,1469.40000000 ,1486.00000000 ,1450.00000000 ,1472.30000000 ,138184.74590000 ,1658174399999 ,203062073.35881900 ,127921 ,69813.10050000 ,102636541.05987800 
1658174400000 ,1472.30000000 ,1494.50000000 ,1461.43000000 ,1487.19000000 ,69095.93170000 ,1658181599999 ,102076111.97593300 ,83898 ,37874.98800000 ,55954673.30595900 
1658181600000 ,1487.19000000 ,1597.47000000 ,1484.38000000 ,1581.04000000 ,254853.62940000 ,1658188799999 ,393604650.74109400 ,208425 ,142966.78230000 ,220800394.92284100 
1658188800000 ,1581.03000000 ,1631.00000000 ,1525.94000000 ,1527.49000000 ,375879.00160000 ,1658195999999 ,589842856.98115100 ,323823 ,182915.92240000 ,287127636.54612800 
1658196000000 ,1527.48000000 ,1546.69000000 ,1510.94000000 ,1516.24000000 ,163167.03110000 ,1658203199999 ,249147222.25390000 ,151456 ,81889.63110000 ,125014974.31325600 
1658203200000 ,1516.24000000 ,1542.68000000 ,1493.11000000 ,1530.15000000 ,129159.89840000 ,1658210399999 ,196218781.01288300 ,118086 ,66973.44190000 ,101800540.82064000 
1658210400000 ,1530.16000000 ,1541.10000000 ,1498.92000000 ,1510.58000000 ,147024.82960000 ,1658217599999 ,223407525.27730000 ,129406 ,69976.94320000 ,106383719.22912500 
1658217600000 ,1510.59000000 ,1539.25000000 ,1505.75000000 ,1533.22000000 ,89381.87830000 ,1658224799999 ,136528880.91885600 ,90473 ,44646.36480000 ,68193438.68512500 
1658224800000 ,1533.23000000 ,1561.45000000 ,1520.00000000 ,1541.82000000 ,137419.35080000 ,1658231999999 ,211906636.98303100 ,132150 ,72020.49200000 ,111079177.51414400 
1658232000000 ,1541.82000000 ,1577.28000000 ,1539.13000000 ,1559.61000000 ,166232.40950000 ,1658239199999 ,258749113.92491300 ,160359 ,82369.65140000 ,128251919.17076300 
1658239200000 ,1559.62000000 ,1559.93000000 ,1506.41000000 ,1540.44000000 ,220606.17490000 ,1658246399999 ,338339833.03137400 ,219447 ,108865.08750000 ,166935402.76859600 
